	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
178	29	medscape.com	Health	=	00:03:20	3.5	0.41159999999999997	Medicine
179	30	abczdrowie.pl	Health	=	00:02:15	2.18	0.6261	Education and Resources
180	31	bethesda.net	Health	4	00:04:29	9.7	0.45270000000000005	
181	32	cdc.gov	Health	5	00:02:01	2.45	0.6929000000000001	
182	33	kaiserpermanente.org	Health	-2	00:04:58	6.36	0.2419	
183	34	jianke.com	Health	-2	00:00:50	1.45	0.7552	
184	35	psychologytoday.com	Health	-2	00:01:48	1.98	0.7237	Mental Health
185	36	baby.ru	Health	new	00:02:03	2.04	0.6562	
186	37	healthy.kaiserpermanente.org	Health	1	00:05:28	7.09	0.2023	
187	38	xyxy.net	Health	2	00:00:49	1.51	0.7343999999999999	
188	39	haowj.com.cn	Health	new	00:03:58	21.3	0.18489999999999998	
189	40	athenahealth.com	Health	-6	00:08:47	12.29	0.2518	Healthcare Industry
190	41	health.mail.ru	Health	-5	00:01:30	1.69	0.6914	
191	42	everydayhealth.com	Health	-3	00:01:06	2.34	0.7175	
192	43	minhavida.com.br	Health	-2	00:01:30	1.49	0.7676000000000001	
193	44	redcross.org	Health	new	00:03:24	3.57	0.46950000000000003	Public Health and Safety
195	46	who.int	Health	4	00:02:35	2.67	0.6454000000000001	
196	47	poradnikzdrowie.pl	Health	-2	00:01:45	1.69	0.6842	
197	48	activebeat.co	Health	-2	00:03:40	5.41	0.3987	Education and Resources
198	49	familydoctor.com.cn	Health	-7	00:00:34	1.69	0.6428	
199	50	health.com	Health	1	00:02:06	6.27	0.451	
200	1	news.yandex.ru	News and Media	=	00:03:15	5.56	0.30820000000000003	Newspapers
201	2	nytimes.com	News and Media	=	00:02:56	2.56	0.6015999999999999	Newspapers
202	3	dailymail.co.uk	News and Media	=	00:04:37	2.48	0.6152000000000001	Newspapers
203	4	theguardian.com	News and Media	=	00:02:31	2.62	0.6386	Newspapers
204	5	washingtonpost.com	News and Media	=	00:02:36	2.68	0.4264	Newspapers
205	6	rambler.ru	News and Media	=	00:05:50	4.75	0.2952	Newspapers
206	7	milliyet.com.tr	News and Media	1	00:10:07	8.95	0.46590000000000004	Newspapers
207	8	indiatimes.com	News and Media	-1	00:07:12	5.43	0.5247999999999999	Newspapers
208	9	elpais.com	News and Media	1	00:07:15	3.41	0.5584	Newspapers
209	10	vnexpress.net	News and Media	-1	00:07:38	4.04	0.4199	Newspapers
210	11	repubblica.it	News and Media	1	00:11:34	5.12	0.4645	Newspapers
211	12	bild.de	News and Media	1	00:05:24	3.62	0.312	Newspapers
212	13	telegraph.co.uk	News and Media	-2	00:02:12	2.84	0.706	Newspapers
213	14	lemonde.fr	News and Media	=	00:15:21	3.88	0.4986	Newspapers
214	15	infobae.com	News and Media	=	00:15:51	4.08	0.5336	Newspapers
215	16	gazeta.pl	News and Media	=	00:04:41	3.91	0.489	Newspapers
